code,name
7111000,Bank Service Charges
7111100,Account & Transaction Fees
7111200,Credit Card Fees
7120300,Fees & Registration-GovAgencies
7120310,Fees-Other Orgs and Mbrships
7120410,Software Programming Services
7120420,Consulting-State Registration
7120500,Database Software Licence&Host
7120510,License & subscription-Finance
7120520,License & subscription-HR
7120530,License & subscription-Operations
7120540,License and subs-Learning & Development
7120600,Accounting Management Services
7120620,Tax & Audit Services
7122000,Legal Fees
7133100,Liability Insurance
7133200,Workman's Comp
7134000,Key Man Insurance
7143001,NA Supplies
7143400,NA Hospitality & Care
7145000,NA Postage and Delivery
7146100,NA Office Rent
7153001,EE Supplies
7153400,EE Hospitality & Care
7154000,EE Administrative
7155000,EE Maintenance & Repairs
7156150,EE Rent
7156300,EE IT Support
7159000,EE Office Furniture & Equip
7215100,JV 2nd Culture Conf (Spring)
7215200,JV Marriage Retreat
7215300,JV Singles Retreat
7215400,JV Staff Conf (Fall)
7215500,JV Israel Retreat
7215600,JV Women's Retreat-Genl Fund
7215610,JV 2nd Culture Conf Expenses
7215620,JV Winter Academy Expenses
7220098,Creative Comm - Miscellaneous
7220099,Creative Comm - Software
7220100,Creative Comm - Equipment
7220101,Creative Comm - Production
7220102,Creative Comm - Contractors
7220103,Creative Comm - Marketing/Print
7220104,Creative Comm - Website Develop
7220105,Creative Comm - Conferences
7226001,JVK Camps
7226004,JV Kids Ministry Contra
7227100,Events & Meetings
7227270,Gifts for Partners
7227290,Travel - Partner Nickerson
7227291,Travel - Partner Howard
7227295,Travel - Partner Yates
7227300,Travel - Partners Hargan
7232100,Country Coaching - Travel - J Patty
7239300,Concentric Participation
7314000,Director of human resources
7315000,IT Leader
7318600,CFO Europe Compensation
7319000,CTeam Director
7411100,President Expenses
7411300,Chief Financial Officer
7412101,President Travel-Lodging
7412102,President Travel-Mileage
7412103,President Travel-Meals & Other
7412104,President Travel-Rental Car
7412105,President Travel - Air & Train
7412106,President Travel-Spouse Travel
7412201,Intl EVP Travel-Lodging
7412202,Intl EVP Travel-Mileage
7412203,Intl EVP Travel-Meals & Other
7412204,Intl EVP Travel Rental Car
7412205,Intl EVP Travel-Air & Train
7412206,Intl EVP Travel Spouse Travel
7412221,Ntl EVP Travel-Lodging
7412222,Ntl EVP Travel-Mileage
7412223,Ntl EVP Travel-Meals & Other
7412224,Ntl EVP Travel Rental Car
7412225,Ntl EVP Travel-Air & Train
7412226,Ntl EVP Travel Spouse Travel
7412301,CFO Travel - Lodging
7412302,CFO Travel-Mileage
7412303,CFO Travel- Meals & Other
7412304,CFO Travel- Rental Car
7412305,CFO Travel- Air & Train
7412306,CFO Travel- Spouse Travel
7412501,E-Team Meetings
7413100,President Business Meals
7413200,EVP Business Meals
7413300,CFO Business Meals
7414100,President Misc
7414200,EVP Misc
7414300,CFO Misc
7422000,Board Expenses - JV USA
7425000,Staff Years of Service Expense
