code,name
"Mintry Types",
1101,"JV General"
1151,"Camps"
1102,"JV Conferences"
1103,"JV General Programs"
1510,"Interns"
1170,"Music"
1160,"Advance"
1175,"Schools"
1180,"Facilities"
1010,"Staff - General"
1018,"Staff - Project 1"
1017,"Staff - Medical"
1013,"Staff - Repatriation"
1014,"Staff - Conferences"
1015,"Staff - Home Assignment"
1019,"Staff - Project 2"
1020,"Housing Project"
1051,"National Staff"
1155,"Training"
1152,"Other National Pgms"
1323,"Concentric"
1053,"National Staff Special Project"
1165,"Sports"
1052,"Sending Country Staff"
9910,"Conversion"
